ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action46,EMG6R,0,-2,-2,-2,-2,-1,-1,-2,-1,1,-1,0,0,0,-1,-3,1,2,0,0,0,-1,3,0,-1,-3,1,-2,2,-2,1,-1,0,-2,4,-3,-2,-4,-2,4,-2,0,0,-1,5,0,0,0,0,0,0,0,0,0,0
Action46,EMG7R,-2,1,-1,0,-4,-1,-1,-2,-2,-1,-2,1,-1,0,-1,-2,1,1,-2,-1,0,-1,-1,1,-2,-1,0,-2,0,0,-3,-2,0,0,0,-1,-3,-3,-2,-1,-2,-1,-3,-1,0,0,0,0,0,0,0,0,0,0,0
Action46,GLX,0.5,1.875,2.25,2.375,-0.4375,-1.5,-3.1875,-0.4375,-0.1875,-8.6875,-48.6875,-240.1875,-92.5625,-19.6875,31.125,51.6875,-1.9375,-52.5,-49.9375,-77.375,-38,-15.25,-5.8125,-1.4375,-2.375,10,23.625,157.5625,120.4375,13.5625,-13.1875,-10.8125,-8.125,-8.75,-5.75,-8.8125,-18.5625,-18.5625,-94.5625,-91.875,-51.125,-2.0625,64.8125,31.8125,29.0625,0,0,0,0,0,0,0,0,0,0
Action46,GLY,0.5,1.875,2.25,2.375,-0.4375,-1.5,-3.1875,-0.4375,-0.1875,-8.6875,-48.6875,-240.1875,-92.5625,-19.6875,31.125,51.6875,-1.9375,-52.5,-49.9375,-77.375,-38,-15.25,-5.8125,-1.4375,-2.375,10,23.625,157.5625,120.4375,13.5625,-13.1875,-10.8125,-8.125,-8.75,-5.75,-8.8125,-18.5625,-18.5625,-94.5625,-91.875,-51.125,-2.0625,64.8125,31.8125,29.0625,0,0,0,0,0,0,0,0,0,0
Action46,GLZ,0.5,1.875,2.25,2.375,-0.4375,-1.5,-3.1875,-0.4375,-0.1875,-8.6875,-48.6875,-240.1875,-92.5625,-19.6875,31.125,51.6875,-1.9375,-52.5,-49.9375,-77.375,-38,-15.25,-5.8125,-1.4375,-2.375,10,23.625,157.5625,120.4375,13.5625,-13.1875,-10.8125,-8.125,-8.75,-5.75,-8.8125,-18.5625,-18.5625,-94.5625,-91.875,-51.125,-2.0625,64.8125,31.8125,29.0625,0,0,0,0,0,0,0,0,0,0
Action46,GRX,-2.3125,0.125,-0.75,0.4375,0.0625,-0.4375,-1.125,0.25,-0.3125,1.6875,0.25,7.5625,12.125,-13.5625,-12.4375,-14,-5.25,0.125,-7.4375,1.4375,6.3125,-2.9375,-3.75,-1.5,-1.9375,-6.1875,-6.25,-21.4375,-38.125,-10.6875,-6.625,-6.75,-2.8125,4.6875,1.25,4.9375,1.1875,1.1875,5.0625,20.25,34.1875,20.9375,12.1875,6.5,-2.5,0,0,0,0,0,0,0,0,0,0
Action46,GRY,-2.3125,0.125,-0.75,0.4375,0.0625,-0.4375,-1.125,0.25,-0.3125,1.6875,0.25,7.5625,12.125,-13.5625,-12.4375,-14,-5.25,0.125,-7.4375,1.4375,6.3125,-2.9375,-3.75,-1.5,-1.9375,-6.1875,-6.25,-21.4375,-38.125,-10.6875,-6.625,-6.75,-2.8125,4.6875,1.25,4.9375,1.1875,1.1875,5.0625,20.25,34.1875,20.9375,12.1875,6.5,-2.5,0,0,0,0,0,0,0,0,0,0
Action46,GRZ,-2.3125,0.125,-0.75,0.4375,0.0625,-0.4375,-1.125,0.25,-0.3125,1.6875,0.25,7.5625,12.125,-13.5625,-12.4375,-14,-5.25,0.125,-7.4375,1.4375,6.3125,-2.9375,-3.75,-1.5,-1.9375,-6.1875,-6.25,-21.4375,-38.125,-10.6875,-6.625,-6.75,-2.8125,4.6875,1.25,4.9375,1.1875,1.1875,5.0625,20.25,34.1875,20.9375,12.1875,6.5,-2.5,0,0,0,0,0,0,0,0,0,0
Action46,ORL,7.214617,7.213419,7.212476,7.219162,7.222664,7.222239,7.223369,7.222534,7.218351,7.214513,7.206212,6.680017,6.311662,6.267275,6.228856,6.255147,6.472425,6.70309,6.932797,7.019741,7.039511,7.038458,7.018559,6.999827,6.991466,7.007773,7.039998,7.830608,7.836036,7.868221,7.885583,7.871301,7.878314,7.871324,7.856759,7.825249,7.734544,7.734544,6.822654,6.492972,6.340179,6.320201,6.386313,6.51636,6.640634,0,0,0,0,0,0,0,0,0,0
Action46,OPL,2.867464,2.867759,2.867308,2.867418,2.86728,2.866533,2.868628,2.86959,2.872323,2.87203,2.876764,3.023767,3.378704,3.914942,4.800352,5.025486,6.048719,6.256536,6.331594,6.355664,6.368029,6.362082,6.356031,6.345277,6.340234,6.337361,6.33438,6.616732,6.612883,6.598324,6.580225,6.593113,6.634844,6.633631,6.632973,6.636421,6.641668,6.641668,6.34564,5.888093,5.223736,4.548914,4.123522,3.308646,3.042223,0,0,0,0,0,0,0,0,0,0
Action46,OYL,2.01646,2.020076,2.024876,2.021301,2.018114,2.014587,2.005268,2.003335,2.005309,2.000904,1.965044,2.042677,2.150218,2.154161,2.192485,2.220491,2.714409,3.153624,3.58395,3.849802,3.962651,4.009003,3.997037,3.989361,3.983675,3.99014,4.013591,4.227787,4.156155,4.102195,4.154643,4.147307,4.192127,4.192665,4.185715,4.164079,4.086973,4.086973,3.275737,3.02938,2.88776,2.824204,2.773791,2.632746,2.511454,0,0,0,0,0,0,0,0,0,0
Action46,ORR,3.042378,3.039634,3.038455,3.037688,3.038027,3.040416,3.043928,3.045318,3.042966,3.044543,3.042656,3.045743,3.056081,3.047783,3.023806,3.008856,3.018183,3.031405,3.036396,3.029331,3.056312,3.039822,3.016243,3.011999,3.023146,3.027205,3.025935,3.057164,3.058897,3.024286,3.002227,2.988572,3.028671,3.056081,3.081362,3.076466,3.0555,3.0555,3.003801,3.004816,3.024509,3.076539,3.08723,3.074414,3.04817,0,0,0,0,0,0,0,0,0,0
Action46,OPR,3.056565,3.058082,3.060293,3.060612,3.060478,3.060135,3.056965,3.056058,3.057383,3.059053,3.059824,3.064125,3.071756,3.071242,3.065336,3.063428,3.069906,3.073845,3.078231,3.080494,3.076763,3.069883,3.061669,3.063494,3.065258,3.067798,3.069219,3.062117,3.059059,3.052535,3.050887,3.051203,3.068747,3.077229,3.084656,3.081383,3.071975,3.071975,3.055181,3.065119,3.080323,3.095202,3.094995,3.080836,3.07115,0,0,0,0,0,0,0,0,0,0
