ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44
Action17,EMG7L,-1,-2,-2,-1,-2,2,11,1,1,-2,1,0,3,-12,0,16,0,-6,-6,0,2,-1,1,0,-1,-2,-2,-2,-19,-5,10,-14,-10,-17,7,14,1,-29,-27,1,9,9,-7,-15
Action17,EMG0R,5,4,-1,-4,-2,9,-7,2,1,1,10,-8,-13,6,-17,-4,-14,2,-2,-6,-3,-9,-10,-1,-8,-1,-24,-10,1,0,9,-7,3,1,-3,-5,-6,-4,-2,1,0,-6,-6,2
Action17,EMG1R,-4,9,4,-16,0,9,-5,0,5,5,7,-6,-9,0,-8,1,-14,2,0,0,-5,-9,-8,6,-8,-1,-18,-6,-3,6,2,-5,2,-3,-1,-7,-3,-8,0,-1,-1,-1,-2,1
Action17,EMG2R,-19,14,13,-30,4,12,8,-2,8,8,11,-4,-8,-7,1,0,-14,-1,-1,-3,-8,-7,-4,11,-6,-1,-9,-3,0,1,-1,-1,-1,-1,-2,-4,-1,-4,-1,-1,-2,-2,-1,0
Action17,EMG3R,-42,22,20,-77,35,19,14,8,-1,0,34,3,-10,-18,31,-12,-7,-8,-1,4,-10,-10,-7,11,-2,2,-2,-8,-2,-1,-1,3,1,-3,0,-4,-2,-3,0,-1,-3,-2,-1,-1
Action17,EMG4R,-9,10,7,-25,6,7,-3,10,-3,-11,9,0,-2,6,4,-7,-1,0,-3,-2,-6,-8,-9,11,-2,-2,-3,-2,-2,2,-4,2,-2,-1,-1,-2,-4,-2,0,0,-3,-4,0,-1
Action17,EMG5R,-2,-6,-9,3,2,10,3,13,9,-12,-3,-5,1,3,-12,-14,-6,-1,-6,-3,-8,-6,-5,5,0,-1,6,-4,-2,-2,1,3,-6,5,1,1,-3,0,-1,2,-6,-15,1,0
Action17,EMG6R,-5,-2,-27,-11,-8,-13,5,13,13,28,-19,21,81,-82,9,4,1,6,-4,1,-46,-3,-2,19,25,2,12,9,-15,-7,9,-1,-26,17,9,-6,-5,-2,-3,3,7,-52,10,-4
Action17,EMG7R,3,-1,-39,6,-6,1,-12,3,4,6,6,-8,-42,6,-25,-4,-25,-8,-5,-4,7,-4,-5,-9,-16,-2,-43,-16,9,2,15,-11,14,5,-10,-5,-12,-2,-1,6,0,-1,-9,0
Action17,GLX,-0.3125,-3.125,-1,-9.5,-3.1875,1.75,-19.9375,-34.1875,-44.9375,-21.5,-24.5625,-43.1875,-23.125,35.4375,-2.125,-6.5,14.625,-9.0625,-6.75,13,32.375,42.5625,43.25,30.8125,37.875,29.5625,16.1875,13.6875,1.1875,-0.5,32.9375,-7.4375,-46.5625,11.6875,16.125,-10.6875,-1.25,-12.125,-10.5,-1.8125,0.0625,3.5,6.4375,-8.0625
Action17,GLY,-0.3125,-3.125,-1,-9.5,-3.1875,1.75,-19.9375,-34.1875,-44.9375,-21.5,-24.5625,-43.1875,-23.125,35.4375,-2.125,-6.5,14.625,-9.0625,-6.75,13,32.375,42.5625,43.25,30.8125,37.875,29.5625,16.1875,13.6875,1.1875,-0.5,32.9375,-7.4375,-46.5625,11.6875,16.125,-10.6875,-1.25,-12.125,-10.5,-1.8125,0.0625,3.5,6.4375,-8.0625
Action17,GLZ,-0.3125,-3.125,-1,-9.5,-3.1875,1.75,-19.9375,-34.1875,-44.9375,-21.5,-24.5625,-43.1875,-23.125,35.4375,-2.125,-6.5,14.625,-9.0625,-6.75,13,32.375,42.5625,43.25,30.8125,37.875,29.5625,16.1875,13.6875,1.1875,-0.5,32.9375,-7.4375,-46.5625,11.6875,16.125,-10.6875,-1.25,-12.125,-10.5,-1.8125,0.0625,3.5,6.4375,-8.0625
Action17,GRX,33.75,46.25,9.3125,-27.375,-0.25,16.875,-13.1875,3.125,-25.6875,-70,-71.75,-49.9375,-12.5,-12.9375,8.5,-2.375,-1.0625,10.25,8.4375,16.25,-2.9375,-33.3125,-36.125,-12.375,-15.625,-32.0625,-22.875,3.4375,-4.5,22.6875,45.25,16.875,-11.875,-2.125,1.125,1.125,-0.125,0.875,-1.3125,-2.6875,-1.0625,-4.9375,-1.8125,-1.625
Action17,GRY,33.75,46.25,9.3125,-27.375,-0.25,16.875,-13.1875,3.125,-25.6875,-70,-71.75,-49.9375,-12.5,-12.9375,8.5,-2.375,-1.0625,10.25,8.4375,16.25,-2.9375,-33.3125,-36.125,-12.375,-15.625,-32.0625,-22.875,3.4375,-4.5,22.6875,45.25,16.875,-11.875,-2.125,1.125,1.125,-0.125,0.875,-1.3125,-2.6875,-1.0625,-4.9375,-1.8125,-1.625
Action17,GRZ,33.75,46.25,9.3125,-27.375,-0.25,16.875,-13.1875,3.125,-25.6875,-70,-71.75,-49.9375,-12.5,-12.9375,8.5,-2.375,-1.0625,10.25,8.4375,16.25,-2.9375,-33.3125,-36.125,-12.375,-15.625,-32.0625,-22.875,3.4375,-4.5,22.6875,45.25,16.875,-11.875,-2.125,1.125,1.125,-0.125,0.875,-1.3125,-2.6875,-1.0625,-4.9375,-1.8125,-1.625
Action17,ORL,8.244012,8.161499,8.102747,8.090025,8.113358,8.168033,8.180045,8.054589,7.609454,7.014717,6.68365,6.420445,6.255319,6.238118,6.251915,6.231744,6.233391,6.230534,6.221902,6.270554,6.421403,6.585801,6.76947,7.070603,7.30542,7.535013,7.699294,7.800514,7.939065,8.116941,8.22101,8.271647,8.251083,8.234697,8.235648,8.224635,8.228083,8.227749,8.229746,8.242305,8.25805,8.261484,8.277992,8.280516
Action17,OPL,7.130301,7.128314,7.12924,7.13303,7.13838,7.139696,7.119035,7.077829,7.010876,6.872534,6.734736,6.592043,6.514343,6.470467,6.457901,6.487254,6.505674,6.505063,6.508699,6.527033,6.580438,6.64838,6.722183,6.828915,6.897681,6.936314,6.963888,6.986538,7.009025,7.029917,7.045267,7.057722,7.074017,7.103211,7.10747,7.112245,7.114917,7.111404,7.110301,7.109419,7.107219,7.106312,7.109334,7.112901
Action17,OYL,8.001811,7.923612,7.869032,7.869517,7.904121,7.956719,7.989102,7.914264,7.55857,6.991743,6.669932,6.44564,6.335228,6.263183,6.234797,6.239988,6.230793,6.226636,6.231282,6.27113,6.383141,6.493207,6.624881,6.872396,7.068545,7.254971,7.39826,7.489756,7.624188,7.822876,7.899398,7.901789,7.948263,7.96533,7.931679,7.926018,7.93924,7.952042,7.975298,7.995653,8.011508,8.011443,8.011052,8.020793
Action17,ORR,4.314487,4.414011,4.46703,4.448641,4.390275,4.395961,4.384377,4.375861,4.343461,4.221272,4.113005,3.936548,3.896842,3.888278,3.86915,3.859658,3.853119,3.86652,3.872398,3.859494,3.795132,3.718317,3.517717,3.36892,3.165117,3.01818,2.889432,2.802589,2.705317,2.623391,2.603914,2.62895,2.672436,2.719532,2.755912,2.786838,2.776945,2.766712,2.751202,2.735482,2.713599,2.688492,2.680344,2.672647
Action17,OPR,5.96338,5.626968,5.35251,5.247156,5.254004,5.301561,5.283993,5.374628,5.517151,5.762462,5.917356,6.110756,6.209494,6.271087,6.32192,6.354766,6.356377,6.351381,6.35574,6.397071,6.50219,6.567434,6.711222,6.809534,6.912075,6.973722,7.017482,7.075405,7.107365,7.132467,7.152114,7.164945,7.164434,7.160885,7.159429,7.160344,7.160715,7.164388,7.168725,7.170403,7.170743,7.171338,7.171122,7.168991
Action17,OYR,4.626142,4.675425,4.69733,4.708562,4.662404,4.632858,4.626326,4.61349,4.577785,4.534257,4.521141,4.475911,4.457528,4.463397,4.440278,4.41438,4.409681,4.410101,4.395913,4.356958,4.245936,4.184489,4.051834,3.927929,3.726961,3.615323,3.529293,3.442333,3.352847,3.248358,3.159136,3.134061,3.199543,3.256419,3.295584,3.324843,3.31559,3.304782,3.291161,3.279599,3.260215,3.241447,3.239837,3.236014
Action18,ALX,-0.9570313,-0.9428711,-0.8740234,-0.8334961,-0.8632813,-0.8647461,-0.8642578,-0.8842773,-0.8637695,-0.8540039,-0.8613281,-0.831543,-0.8706055,-0.9521484,-0.9545898,-0.9736328,-0.9946289,-0.984375,-0.9858398,-0.9848633,-0.9707031,-0.9711914,-0.9633789,-0.9633789,-0.9643555,-0.9755859,-0.9628906,-0.9619141,-0.9648438,-0.9677734,-0.9599609,-0.9594727,-0.9599609,-0.9750977,-0.9682617,-0.9707031,-0.9682617,-0.96875,-0.9707031,-0.965332,-0.9575195,-0.9741211,-0.9584961,-0.9658203
Action18,ALY,0.3046875,0.3198242,0.2958984,0.2832031,0.3217773,0.3618164,0.355957,0.3764648,0.3496094,0.3422852,0.3603516,0.3544922,0.3393555,0.3515625,0.3242188,0.300293,0.3417969,0.3310547,0.2856445,0.2783203,0.2299805,0.2045898,0.2011719,0.2124023,0.190918,0.1865234,0.1918945,0.1826172,0.1865234,0.1777344,0.1899414,0.1987305,0.1933594,0.1821289,0.1875,0.1894531,0.1967773,0.1904297,0.1865234,0.184082,0.1821289,0.1782227,0.1923828,0.1845703
Action18,ALZ,0.2758789,0.2041016,0.1630859,0.1889648,0.2988281,0.4072266,0.4316406,0.3994141,0.375,0.3549805,0.277832,0.2358398,0.2045898,0.230957,0.152832,0.03662109,-0.06445313,-0.08642578,-0.1118164,-0.1376953,-0.1743164,-0.1391602,-0.137207,-0.1367188,-0.1855469,-0.1855469,-0.1713867,-0.1674805,-0.1835938,-0.1645508,-0.1606445,-0.1694336,-0.1582031,-0.1601563,-0.1738281,-0.1606445,-0.168457,-0.1704102,-0.1816406,-0.1723633,-0.1757813,-0.1635742,-0.1635742,-0.1455078
Action18,ARX,-0.6591797,-0.7553711,-0.831543,-0.987793,-0.9365234,-0.8852539,-0.8754883,-0.8759766,-0.8491211,-0.8676758,-0.8500977,-0.8417969,-0.9199219,-0.9702148,-0.9936523,-1.064941,-1.000488,-0.9995117,-1.004395,-0.9970703,-0.9819336,-1.007324,-1.013672,-1.001953,-1.003418,-0.9882813,-1.001953,-0.9926758,-0.9951172,-1.001953,-1.015625,-0.9970703,-0.9931641,-1.000488,-0.987793,-0.9921875,-0.9931641,-0.9907227,-0.996582,-0.9941406,-0.9956055,-0.996582,-1.000977,-1.005371
