ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55
Action75,ARZ,0.1376953,0.1230469,0.1254883,0.1201172,0.1323242,0.1318359,0.1376953,0.1386719,0.1445313,0.112793,0.1435547,0.1459961,0.1147461,0.1416016,0.1411133,0.1416016,0.1342773,0.1318359,0.1357422,0.1459961,0.1474609,0.1298828,0.152832,0.1450195,0.1352539,0.1328125,0.1352539,0.1337891,0.1240234,0.1333008,0.144043,0.1469727,0.1381836,0.1513672,0.1582031,0.1416016,0.1376953,0.1401367,0.1264648,0.1298828,0.144043,0.1508789,0.1289063,0.128418,0.128418,0,0,0,0,0,0,0,0,0,0
Action75,EMG0L,-2,0,-1,0,-1,-1,-1,-7,-8,60,31,1,-2,1,-28,3,7,20,119,12,25,-128,77,-28,43,-31,39,17,-19,-61,15,7,2,0,-1,-2,-2,-7,-4,-2,-7,-3,3,3,0,0,0,0,0,0,0,0,0,0,0
Action75,EMG1L,-2,1,-2,-1,-3,3,-3,-24,-4,-12,8,-3,-7,-5,1,-19,-3,5,52,23,-95,50,50,7,-4,108,-33,-20,27,33,-2,5,-2,-2,0,-2,-1,-5,1,-4,-4,2,0,-2,2,0,0,0,0,0,0,0,0,0,0
Action75,EMG2L,-2,-4,0,0,-2,-1,-4,-13,10,-3,3,1,-1,-4,4,-5,-1,-9,12,-8,-37,-10,4,9,17,30,0,-20,7,15,-1,2,2,-1,1,0,-1,-3,-1,-3,-3,-1,-2,0,-1,0,0,0,0,0,0,0,0,0,0
Action75,EMG3L,-2,-2,0,-2,0,-1,-2,-1,2,-2,-2,39,-4,12,31,-10,0,-14,-9,-95,-13,-63,-40,15,-14,-3,-2,1,-15,12,-9,-1,2,-3,0,0,-2,-3,2,-2,-3,-1,-2,-2,-3,0,0,0,0,0,0,0,0,0,0
Action75,EMG4L,-1,-1,-1,1,-3,-1,-1,1,3,-1,-1,92,2,10,36,-2,2,-3,5,25,-22,-4,5,10,5,4,3,-9,-5,-1,-4,-2,-1,-3,0,3,0,-1,-1,-1,-3,-1,-3,1,-1,0,0,0,0,0,0,0,0,0,0
Action75,EMG5L,-1,-1,-1,-2,0,-1,0,-1,2,-1,0,-10,-25,7,21,-1,-3,4,-2,21,-7,2,12,4,6,2,4,-6,3,-3,-1,-3,1,-2,-1,2,-1,-2,-2,-1,-1,3,-2,-1,-1,0,0,0,0,0,0,0,0,0,0
Action75,EMG6L,-1,0,-1,-1,0,-2,-1,-1,4,-1,0,15,-1,-1,6,-8,1,3,-4,8,-3,-17,7,-2,7,-2,-1,11,-3,-1,2,-3,-2,-3,0,11,3,-5,-4,5,-3,1,-2,2,-4,0,0,0,0,0,0,0,0,0,0
Action75,EMG7L,-2,1,-1,-4,-3,0,0,-4,12,-2,-1,1,11,3,-7,-14,2,1,-14,9,0,-67,-5,10,7,5,5,52,-25,-6,1,-17,56,-15,-1,4,2,-2,-21,18,-9,1,3,10,-11,0,0,0,0,0,0,0,0,0,0
Action75,EMG0R,1,-1,-1,-1,-1,0,0,-1,-1,-2,-1,-2,-2,0,-2,-2,-2,-1,-1,-1,0,-2,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-2,0,-1,-1,-2,-4,-1,0,1,-2,1,0,0,0,0,0,0,0,0,0,0,0
