ActionID,SensorName,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85
Action 91,EMG5L,0,-2,0,0,0,2,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-2,-1,-1,0,0,-1,0,-2,0,-2,0,-1,1,-1,-1,0,1,1,-9,-5,2,6,-21,-91,9,6,-30,24,-12,5,10,17,-2,32,-18,26,-5,-90,-16,-15,1,-7,2,-68,-14,-26,2,25,9,26,9,0,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG6L,-1,-2,0,-2,0,2,-2,0,-2,1,-3,-2,-1,-4,0,0,-1,-1,-3,-3,1,1,-2,2,-3,0,0,0,1,-5,1,9,-3,-1,2,13,-11,-27,33,6,0,-38,-8,-65,2,-22,-1,20,22,-21,-36,16,5,16,11,-45,26,6,22,-28,-28,31,-30,-65,-45,105,29,-9,14,-8,-92,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG7L,-1,-1,1,-2,-1,-1,-1,0,-1,-2,0,0,0,-1,0,-2,-1,-1,-2,-1,1,5,-1,0,-21,2,0,0,-1,1,-1,3,-21,-8,0,2,11,-14,25,-10,-3,30,-35,-57,-7,-17,-7,-9,-11,-4,20,5,-1,-11,3,6,-26,31,-1,-31,-13,-12,13,-60,-67,30,-11,-16,3,8,-8,-17,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG0R,0,0,-2,-1,0,0,-2,-1,0,-2,-2,0,-1,0,-2,-1,-1,1,0,-1,0,-1,-1,0,-3,-2,-1,-2,0,0,-1,-1,-1,0,-1,-5,-3,-2,2,-12,-3,4,-2,0,3,9,-6,-9,-5,2,0,-4,4,-1,-4,3,1,-3,-7,2,-2,-11,-10,2,-82,-27,-9,63,-26,-14,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG1R,0,-2,-1,-1,-1,-2,1,0,0,1,-1,0,-1,-2,1,-1,-1,0,-2,-1,-1,-1,-1,0,0,-2,0,-1,-2,-2,0,-2,-2,-3,-2,-1,-1,-2,-3,-5,-5,0,0,-2,0,1,-5,-11,2,0,-2,-4,1,0,-8,3,-5,-8,-5,-1,1,2,-9,-2,-24,33,-17,7,5,-2,-16,-24,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG2R,-2,-2,0,-1,-3,-2,-2,-1,-2,-1,-1,-2,-1,-2,-1,-1,-2,-3,-3,0,-2,-1,-2,-1,-1,1,-2,-2,0,-3,0,-19,-3,-4,7,48,-10,2,2,-12,-76,4,13,15,-8,2,12,-39,-10,23,-12,-8,-13,61,-26,10,-9,-90,-5,3,26,78,-10,-33,-65,-40,-51,-28,-50,32,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG3R,-1,-1,-2,0,-2,0,0,1,-1,-1,-1,-1,0,-1,-1,1,-2,-1,-2,0,-1,-2,0,-1,-1,-2,-3,-2,-1,-4,-1,3,-2,-9,-2,6,7,-26,11,7,3,4,-3,-18,40,30,-8,-28,12,27,-15,17,-10,9,-11,-7,-17,-13,0,22,19,-8,-15,-2,-47,4,-34,16,-16,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG4R,0,0,3,-4,-2,0,0,1,-4,-1,-2,-1,-1,-2,0,3,-3,-5,-2,3,-3,-2,5,-2,0,-2,-4,-2,-6,-7,-1,12,-4,-19,28,16,11,-15,-6,-1,8,21,1,-21,-33,70,-28,-10,-13,30,22,22,-15,-12,29,51,-50,4,-17,3,20,-28,-24,59,-33,-55,58,30,35,-21,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG5R,0,1,2,-1,-1,0,0,-1,-1,-1,-2,-1,1,3,-1,-1,-3,0,-1,0,-2,-5,0,2,2,-1,-2,-6,5,-3,1,-11,-5,4,16,1,34,2,22,19,-46,-72,-51,-3,-1,47,-14,10,-30,33,-6,12,12,-10,3,28,-22,-17,0,1,21,-36,-20,22,-39,-40,21,-1,27,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG6R,-1,1,-2,-1,0,-1,-2,0,0,0,-2,-1,-1,0,-2,-2,0,0,-1,0,-2,-3,0,-3,1,-4,0,-6,-1,-2,3,10,-30,-10,-13,0,22,-26,38,11,-58,15,30,-113,13,18,-37,-10,-81,-8,42,-93,5,3,-60,-49,-76,4,-1,20,-29,-21,-3,29,-105,-116,64,-31,53,5,-42,34,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,EMG7R,-1,-1,-1,0,-1,-1,-2,0,-1,1,-1,-3,-2,0,-2,-1,-2,-1,-1,-1,-3,2,-1,3,-1,-15,-1,2,1,-3,-11,3,-8,4,-2,1,-21,-18,4,-60,-14,-6,-28,11,15,-8,11,-20,15,8,-9,3,4,16,1,6,-7,-30,-7,-10,2,-14,-12,42,-19,-83,24,22,-46,-72,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,GLX,1.6875,0.1875,-0.1875,-2.0625,2.0625,-2.4375,-2.5,-0.5625,-1.8125,-0.125,-2.8125,0.875,2.0625,-0.375,1.625,-2.5625,-0.5625,-0.625,-2.4375,0.5,0.4375,-0.75,2.5625,2,2.9375,0.125,4.5625,2.8125,2.75,0.6875,2.0625,9.0625,-3.375,-5.75,22.625,17.8125,-4.875,5.75,-11.375,-14.0625,-6.375,-3.5,-2.4375,-28.8125,-13.9375,-48.9375,-19.6875,-28.8125,-5.1875,-7.25,-7.125,-4.75,-8,2.25,-6.9375,-3.1875,-10.25,-2.0625,0.0625,-0.3125,4.75,0.5625,8.4375,28.3125,10.0625,29.4375,-5.8125,15.9375,-5.625,8.9375,5.6875,7.3125,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,GLY,1.6875,0.1875,-0.1875,-2.0625,2.0625,-2.4375,-2.5,-0.5625,-1.8125,-0.125,-2.8125,0.875,2.0625,-0.375,1.625,-2.5625,-0.5625,-0.625,-2.4375,0.5,0.4375,-0.75,2.5625,2,2.9375,0.125,4.5625,2.8125,2.75,0.6875,2.0625,9.0625,-3.375,-5.75,22.625,17.8125,-4.875,5.75,-11.375,-14.0625,-6.375,-3.5,-2.4375,-28.8125,-13.9375,-48.9375,-19.6875,-28.8125,-5.1875,-7.25,-7.125,-4.75,-8,2.25,-6.9375,-3.1875,-10.25,-2.0625,0.0625,-0.3125,4.75,0.5625,8.4375,28.3125,10.0625,29.4375,-5.8125,15.9375,-5.625,8.9375,5.6875,7.3125,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,GLZ,1.6875,0.1875,-0.1875,-2.0625,2.0625,-2.4375,-2.5,-0.5625,-1.8125,-0.125,-2.8125,0.875,2.0625,-0.375,1.625,-2.5625,-0.5625,-0.625,-2.4375,0.5,0.4375,-0.75,2.5625,2,2.9375,0.125,4.5625,2.8125,2.75,0.6875,2.0625,9.0625,-3.375,-5.75,22.625,17.8125,-4.875,5.75,-11.375,-14.0625,-6.375,-3.5,-2.4375,-28.8125,-13.9375,-48.9375,-19.6875,-28.8125,-5.1875,-7.25,-7.125,-4.75,-8,2.25,-6.9375,-3.1875,-10.25,-2.0625,0.0625,-0.3125,4.75,0.5625,8.4375,28.3125,10.0625,29.4375,-5.8125,15.9375,-5.625,8.9375,5.6875,7.3125,0,0,0,0,0,0,0,0,0,0,0,0,0
Action 91,GRX,0.5625,1.25,0.6875,-2.1875,-0.375,0.375,-5.25,-0.8125,2,-5.625,1.3125,-1.125,0.5625,2.875,-2.3125,-1.75,2.125,-2.5625,0.75,0.9375,0.3125,-1.1875,0.3125,2.6875,-1.25,-3.75,2.0625,1.4375,-5.375,1.1875,0.6875,-0.9375,-5.375,-10.3125,3.5625,7.4375,-15.125,-9.1875,19.8125,2.6875,-11.9375,-0.9375,2,-1.125,1.25,18.75,5.3125,1.4375,9.875,4.25,7.75,5.125,5.5625,8.6875,-2.8125,2.5625,1.8125,-1.0625,-2.125,-3.5625,4.5625,-26.3125,-30.8125,-58.4375,37.6875,20.6875,-27.3125,1.4375,-23.8125,10.5,-5.25,-19.125,0,0,0,0,0,0,0,0,0,0,0,0,0
